Error number: 8. | Error message: Undefined variable: con. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 21. 
Error number: 2. | Error message: mysqli_num_rows() expects parameter 1 to be mysqli_result, bool given. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 58. 
Error number: 2. | Error message: mysqli_num_rows() expects parameter 1 to be mysqli_result, bool given. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 58. 
Error number: 2. | Error message: mysqli_num_rows() expects parameter 1 to be mysqli_result, bool given. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 58. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 186. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 186. 
Error number: 2. | Error message: array_push() expects parameter 1 to be array, null given. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 90. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 188. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 186. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 188. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 188. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 188. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 188. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 188. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 188. 
Error number: 8. | Error message: Undefined variable: reveiws. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 191. 
Error number: 8. | Error message: Undefined variable: reviewer. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 193. 
Error number: 8. | Error message: Undefined variable: reviewer. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 193. 
Error number: 8. | Error message: Uninitialized string offset: 1. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 194. 
Error number: 8. | Error message: Uninitialized string offset: 1. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 195. 
Error number: 8. | Error message: Uninitialized string offset: 1. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 194. 
Error number: 8. | Error message: Uninitialized string offset: 1. | File name: F:\XAMPP\htdocs\marketplace\product.php, Error line: 201. 
