Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 23. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 23. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 23. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 23. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 23. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 23. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 23. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 23. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 23. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 23. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 22. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 22. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 22. 
Error number: 8. | Error message: . | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\changeOrders.php, Error line: 28. 
Error number: 2. | Error message: Use of undefined constant answerISSET - assumed 'answerISSET' (this will throw an Error in a future version of PHP). | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\clientProfile.php, Error line: 9. 
Error number: 2. | Error message: Use of undefined constant answerISSET - assumed 'answerISSET' (this will throw an Error in a future version of PHP). | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\clientProfile.php, Error line: 9. 
Error number: 2. | Error message: Use of undefined constant answerISSET - assumed 'answerISSET' (this will throw an Error in a future version of PHP). | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\clientProfile.php, Error line: 6. 
Error number: 2. | Error message: Use of undefined constant answerISSET - assumed 'answerISSET' (this will throw an Error in a future version of PHP). | File name: I:\_Marwan Documents\Data Management\xampp\htdocs\TEST MARKET\is388-marketplace\php\clientProfile.php, Error line: 6. 
